Index,Symbol label,Mnemonic
0,document-version,DOC_VERSION
1,timestamp,TIMESTAMP
2,sequence,SEQUENCE_ID
3,library-name,LIBRARY_NAME
4,library-version,LIBRARY_VERSION
5,gizmo-type,DEVICE_TYPE
6,gizmo-name,DEVICE_NAME
7,gizmo-version,DEVICE_VARIANT
8,gizmo-id,DEVICE_HW_ID
9,gizmo-idClient,DEVICE_CDSN
10,gizmo-idCard,DEVICE_CA_CARD
11,sojourner-idFx,CUSTOMER_AMS_ID
12,sojourner-idPanel,CUSTOMER_AMS_PANEL
13,application-appVersionShort,SOFTWARE_VERSION
14,batch,EVENT_LIST
15,gizmo-fwVersion,HARDWARE_VERSION
16,gizmo-osVersion,OS_VERSION
17,gizmo-modelId,DEVICE_MODEL_ID
18,gizmo-pwrcycle,DEVICE_RESETS
19,gizmo-uptime,DEVICE_UPTIME
20,gizmo-storageCapacity,PVR_HDD_SIZE
21,gizmo-storageCustSpaceLeft,PVR_CUST_FREE_PERC
22,gizmo-storageProdSpaceLeft,PVR_PVOD_FREE_PERC
23,gizmo-storageTotalRecordings,PVR_NUM_RECORDINGS
24,display-connection,DISPLAY_CONNECTION
25,display-edidName,DISPLAY_NAME
26,display-edidIdManufacturer,DISPLAY_MANUFACTURER
27,display-edidBuildDate,DISPLAY_BUILD_DATE
28,display-edidOptimalMaxResolution,DISPLAY_OPTIMAL_RES
29,display-edidIdHdr,DISPLAY_HDR_SUPPORT
30,application-postcode,APP_POSTCODE
31,application-dttRegion,APP_DTT_REGION
32,application-regionId,APP_REGION_ID
33,connectivity-connectionType,NETWORK_TYPE
34,rcu-version,RCU_VERSION
35,rcu-keysPressed,RCU_KEYS_PRESSED
36,rcu-type,RCU_TYPE
37,application-id,UI_VERSION
38,application-idSupplemental,EPG_VERSION
39,application-installDate,EPG_VERSION_INSTALL_DATE
40,event-idClass#Eventheader,EVENT_ID
41,behavioural-idSessionApp,APP_SESSION_ID
42,behavioural-idSessionUsage,USAGE_SESSION_ID
43,behavioural-idSessionPage,PAGE_SESSION_ID
44,gizmo-deviceContextId,CONTEXT_EVENT_ID
45,properties,EVENT_PROPERTY_STRUCT
46,behavioural-userInitiated,EVENT_USER_INITIATED
47,navigation-page,PAGE_NAME
48,navigation-previousPage,PREVIOUS_PAGE
49,navigation-filter,PAGE_FILTER
50,navigation-sort,PAGE_SORT
51,metadata-contentProvider,CONTENT_PROVIDER
52,metadata-channelProviderPromo,CONTENT_PROMO_CHANNEL
53,metadata-programmeId,CONTENT_PROGRAM_ID
54,metadata-programmeEventId,CONTENT_SCHEDULE_ID
55,metadata-programmeStartDateTime,CONTENT_START_TIMESTAMP
56,metadata-programmeDuration,CONTENT_DURATION
57,metadata-programmeTitle,CONTENT_PROGRAM_TITLE
58,metadata-nameEpisode,CONTENT_EPISODE_TITLE
59,metadata-programmeClassification,CONTENT_CLASSIFICATION
60,metadata-resolution,CONTENT_RESOLUTION
61,metadata-price,CONTENT_PRICE
62,media-contentType,CONTENT_TYPE
63,media-viewStatus,PLAYER_VIEW_STATUS
64,media-eventSource,MEDIA_EVENT_SOURCE
65,media-bookingSource,MEDIA_BOOKING_SOURCE
66,media-recordStartTime,MEDIA_REC_START_TIMESTAMP
67,media-duration,MEDIA_DURATION
68,media-recordStatus,MEDIA_REC_STATUS
69,media-expiryDateTime,MEDIA_EXPIRY_TIMESTAMP
70,media-extendRecordDuration,MEDIA_EXTEND_REC_DURATION
71,media-downloadState,MEDIA_DOWNLOAD_STATE
72,media-maxViewedOffset,MEDIA_MAX_VIEWED_OFFSET
73,player-viewingStartDateTime,PLAYER_VIEWING_START_TIMESTAMP
74,player-mediaSpeed,PLAYER_TRICKMODE_SPEED
75,player-mediaOffset,PLAYER_MEDIA_OFFSET
76,player-mediaViewedDuration,PLAYER_VIEWED_DURATION
77,player-averageBitrateKbps,PLAYER_QOS_AVG_BITRATE_KBPS
78,player-startupTime,PLAYER_QOS_STARTUP_MS
79,player-bufferingDuration,PLAYER_QOS_BUFFERING_MS
80,player-bufferingCount,PLAYER_QOS_BUFFERING_COUNT
81,player-abrShiftCount,PLAYER_QOS_ABR_SHIFTS
82,player-jumpTo,PLAYER_JUMP_TO
83,behavioural-idMessageError,ERROR_FNUM_MESSAGE
84,behavioural-idMessageErrorTechnical,ERROR_TECHNICAL_MESSAGE
85,gizmo-statusPower,DEVICE_POWER_STATUS
86,display-connected,DISPLAY_ON
87,display-detectedHDRCapability,DISPLAY_DETECTED_HDR
88,display-negotiatedHDMI,DISPLAY_NEG_HDMI
89,display-negotiatedHDCP,DISPLAY_NEG_HDCP
90,display-negotiatedResolution,DISPLAY_NEG_RESOLUTION
91,display-negotiatedFramerate,DISPLAY_NEG_FRAMERATE
92,display-edidHash,DISPLAY_EDID_SIG
93,display-edidBlock,DISPLAY_EDID_BLOCK
94,navigation-selectorTrackId,SELECTOR_TRACK_ID
95,navigation-selectorType,SELECTOR_TYPE
96,navigation-selectorTitle,SELECTOR_TITLE
97,navigation-selectorRow,SELECTOR_ROW
98,navigation-selectorColumn,SELECTOR_COLUMN
99,metadata-brand,CONTENT_BRAND
100,navigation-locked,TILE_LOCKED
101,metadata-collectionTitle,COLLECTION_TITLE
102,metadata-collectionSource,COLLECTION_SOURCE
103,navigation-searchResultType,SEARCH_INITIATOR_SOURCE
104,navigation-searchTerm,SEARCH_TERM
105,navigation-searchScore,SEARCH_SCORE
106,application-pinClassification,CONF_PIN_CLASSIFICATION
107,application-pinInfo,CONF_PIN_INFO
108,application-pinNC,CONF_PIN_NC
109,application-channelBlocking,CONF_CHANNEL_BLOCKING_ON
110,application-pinPurchase,CONF_PIN_ON_PURCHASE
111,application-pinProtectKeep,CONF_PIN_PROTECT_KEEP
112,application-pinIPVideo,CONF_PIN_IP_VIDEO
113,application-pinAppLaunch,CONF_PIN_APP_LAUNCH
114,application-numScheduledReminders,CONF_NUM_SCHED_REMINDERS
115,application-numScheduledRecordings,CONF_NUM_SCHED_RECORDINGS
116,application-numTeamLinks,CONF_NUM_TEAM_LINKS
117,application-favouritesConfigured,CONF_FAVOURITES_SETUP
118,application-dttConfigured,CONF_DTT_SETUP
119,application-energySavingOn,CONF_ENERGY_SAVING_ON
120,application-spdifAudioOutput,CONF_SPDIF_AUDIO_MODE
121,application-hdmiAudioOutput,CONF_HDMI_AUDIO_MODE
122,application-downloadHD,CONF_DOWNLOAD_HD
123,application-streamFromStore,CONF_STREAM_FROM_STORE
124,application-cecPower,CONF_CEC_POWER
125,application-cecVolume,CONF_CEC_VOLUME
126,application-name,APP_NAME
127,application-provider,APP_PROVIDER
128,application-state,APP_STATE
129,gizmo-rebootType,REBOOT_TYPE
